name,rank,insertions,deletions,lines_changed,files,commits,first_commit,last_commit,score,checked
Ryan Seeley</b></sub></a><br,137.0,425.0,51.0,476.0,5.0,1.0,2023-06-22 16:57:55+00:00,2023-06-22 16:57:55+00:00,1.0,0
Marcus Lim</b></sub></a><br,66.0,134.0,121.0,255.0,11.0,3.0,2023-11-26 01:13:40+00:00,2024-09-15 10:12:14+00:00,1.0,0
Stefane Fermigier</b></sub></a><br,60.0,6.0,4.0,10.0,3.0,3.0,2023-06-21 19:00:48+00:00,2023-08-08 07:58:14+00:00,1.0,0
Mateusz Mikołajczyk</b></sub></a><br,,,,,,,,,0.0,0
Tibor Reiss</b></sub></a><br,41.0,98.0,64.0,162.0,10.0,5.0,2024-05-16 01:32:42+00:00,2024-05-30 08:13:16+00:00,1.0,0
Javier  ,,,,,,,,,0.0,0
Harry-Lees,69.0,425.0,235.0,660.0,41.0,2.0,2022-07-09 04:30:27+00:00,2022-07-23 17:04:54+00:00,1.0,0
Orell Garten</b></sub></a><br,102.0,120.0,22.0,142.0,14.0,2.0,2023-10-27 09:02:43+00:00,2023-11-03 16:30:44+00:00,1.0,0
Anuranjan Srivastava</b></sub></a><br,221.0,260.0,23.0,283.0,4.0,1.0,2024-07-11 08:27:06+00:00,2024-07-11 08:27:06+00:00,1.0,0
Alexandre Richonnier</b></sub></a><br,172.0,95.0,2.0,97.0,2.0,1.0,2024-05-25 08:42:51+00:00,2024-05-25 08:42:51+00:00,1.0,0
Somraj Saha</b></sub></a><br,123.0,1.0,1.0,2.0,1.0,1.0,2023-01-03 11:00:40+00:00,2023-01-03 11:00:40+00:00,1.0,0
Garry Bullock</b></sub></a><br,204.0,3.0,3.0,6.0,2.0,1.0,2022-12-16 06:51:31+00:00,2022-12-16 06:51:31+00:00,1.0,0
Konrad Szczurek</b></sub></a><br,53.0,12.0,4.0,16.0,3.0,3.0,2023-11-02 17:02:16+00:00,2023-11-03 18:51:10+00:00,1.0,0
Patrick Neise</b></sub></a><br,121.0,15.0,3.0,18.0,2.0,1.0,2024-01-26 15:51:10+00:00,2024-01-26 15:51:10+00:00,1.0,0
Jerry Wu</b></sub></a><br,118.0,1.0,1.0,2.0,1.0,1.0,2024-01-07 16:54:01+00:00,2024-01-07 16:54:01+00:00,1.0,0
Roman Reznikov</b></sub></a><br,46.0,5.0,5.0,10.0,4.0,4.0,2022-10-19 17:09:53+00:00,2023-02-25 10:55:13+00:00,1.0,0
Jason Nance</b></sub></a><br,156.0,6.0,25.0,31.0,5.0,1.0,2022-12-29 09:57:52+00:00,2022-12-29 09:57:52+00:00,1.0,0
tibor-reiss,41.0,98.0,64.0,162.0,10.0,5.0,2024-05-16 01:32:42+00:00,2024-05-30 08:13:16+00:00,1.0,0
Pastukhov Nikita</b></sub></a><br,192.0,6.0,7.0,13.0,1.0,1.0,2023-10-12 05:09:39+00:00,2023-10-12 05:09:39+00:00,1.0,0
Samuel Colvin</b></sub></a><br,140.0,0.0,2.0,2.0,1.0,1.0,2022-08-24 17:04:25+00:00,2022-08-24 17:04:25+00:00,1.0,0
